fueltype,doornumber,carbody,carlength,carwidth,horsepower,price
gas,four,wagon,169.7,63.6,62,6918
gas,four,wagon,169.7,63.6,62,7898
gas,four,wagon,169.7,63.6,62,8778
gas,four,sedan,166.3,64.4,70,6938
gas,four,hatchback,166.3,64.4,70,7198
diesel,four,sedan,166.3,64.4,56,7898
diesel,four,hatchback,166.3,64.4,56,7788
gas,four,sedan,166.3,64.4,70,7738
gas,four,hatchback,166.3,64.4,70,8358
gas,four,sedan,166.3,64.4,70,9258
gas,two,sedan,168.7,64,70,8058
gas,two,hatchback,168.7,64,70,8238
gas,two,sedan,168.7,64,112,9298
gas,two,hatchback,168.7,64,112,9538
gas,two,hardtop,176.2,65.6,116,8449
gas,two,hardtop,176.2,65.6,116,9639
gas,two,hatchback,176.2,65.6,116,9989
gas,two,hardtop,176.2,65.6,116,11199
gas,two,hatchback,176.2,65.6,116,11549
gas,two,convertible,176.2,65.6,116,17669
gas,four,sedan,175.6,66.5,92,8948
diesel,four,sedan,175.6,66.5,73,10698
gas,four,hatchback,175.6,66.5,92,9988
gas,four,sedan,175.6,66.5,92,10898
gas,four,hatchback,175.6,66.5,92,11248
gas,two,hatchback,183.5,67.7,161,16558
gas,two,hatchback,183.5,67.7,161,15998
gas,four,sedan,187.8,66.5,156,15690
gas,four,wagon,187.8,66.5,156,15750
diesel,two,sedan,171.7,65.5,52,7775
gas,two,sedan,171.7,65.5,85,7975
diesel,four,sedan,171.7,65.5,52,7995
gas,four,sedan,171.7,65.5,85,8195
gas,four,sedan,171.7,65.5,85,8495
diesel,four,sedan,171.7,65.5,68,9495
gas,four,sedan,171.7,65.5,100,9995
gas,two,convertible,159.3,64.2,90,11595
gas,two,hatchback,165.7,64,90,9980
gas,four,sedan,180.2,66.9,110,13295
diesel,four,sedan,180.2,66.9,68,13845
gas,four,wagon,183.1,66.9,88,12290
gas,four,sedan,188.8,67.2,114,12940
gas,four,wagon,188.8,67.2,114,13415
gas,four,sedan,188.8,67.2,114,15985
gas,four,wagon,188.8,67.2,114,16515
gas,four,sedan,188.8,67.2,162,18420
gas,four,wagon,188.8,67.2,162,18950
gas,four,sedan,188.8,68.9,114,16845
gas,four,sedan,188.8,68.8,160,19045
gas,four,sedan,188.8,68.9,134,21485
diesel,four,sedan,188.8,68.9,106,22470
gas,four,sedan,188.8,68.9,114,22625
